t0,t1,t2,t3,t4,t5
-0.30055067,-0.54613435,-0.9993599,-0.9991888,-0.97880733,-0.98630476
-0.25086248,-0.47389302,-0.99962616,-0.9992485,-0.96705425,-0.9811236
-0.3663653,-0.40434775,-0.99875146,-0.99824613,-0.95878327,-0.96450305
-0.31825212,-0.5924224,-0.99954057,-0.99954575,-0.9754677,-0.98391163
-0.30628556,-0.5997976,-0.9996253,-0.99957633,-0.9901156,-0.984495
-0.16912825,-0.46234897,-0.9972102,-0.9969866,-0.9462164,-0.961413
-0.22162595,-0.45923692,-0.9992079,-0.9993299,-0.97880447,-0.9867266
-0.44157666,-0.72091347,-0.9996022,-0.9996873,-0.97993803,-0.99294686
-0.40019825,-0.48609588,-0.99955153,-0.9993958,-0.97696155,-0.9875814
-0.3055205,-0.5320959,-0.99976003,-0.99952346,-0.975229,-0.9857914
-0.2535623,-0.47496775,-0.99873084,-0.9983754,-0.94962734,-0.96489584
-0.28676632,-0.5695913,-0.9984641,-0.99813336,-0.9666988,-0.97949815
-0.34133938,-0.7511889,-0.99983305,-0.9999007,-0.98556805,-0.9958916
-0.271382,-0.57890135,-0.998275,-0.99841857,-0.96491456,-0.9856663
-0.3804683,-0.47896403,-0.9996037,-0.99948364,-0.98015463,-0.98369396
-0.3053067,-0.4936105,-0.9987114,-0.9986049,-0.9761529,-0.96966314
