t0,t1,t2,t3,t4,t5
-0.7189061,-0.808552,-0.9991807,-0.9986842,-0.8768915,0.7255927
-0.7094924,-0.8081651,-0.9995539,-0.99879366,-0.81456673,0.8036569
-0.76127774,-0.7341326,-0.9987247,-0.9979636,-0.8196165,0.84529734
-0.7462084,-0.85947627,-0.99948686,-0.99938226,-0.8654543,0.8408768
-0.76293844,-0.85401845,-0.99945146,-0.9992244,-0.9231572,0.88183707
-0.58684844,-0.7510306,-0.9972626,-0.9964095,-0.80396426,0.6952078
-0.69455165,-0.774896,-0.99907917,-0.99894947,-0.87734175,0.731537
-0.8605808,-0.9160802,-0.9996583,-0.9996436,-0.8745694,0.76853216
-0.7964072,-0.8206547,-0.99952805,-0.9990901,-0.8715062,0.67320985
-0.7556271,-0.8586524,-0.99974734,-0.9993106,-0.8483483,0.836494
-0.6827143,-0.7876108,-0.99843925,-0.9971542,-0.7478147,0.81271386
-0.6847923,-0.833471,-0.9983675,-0.9972503,-0.8464727,0.6631557
-0.8270828,-0.94366866,-0.99983907,-0.9998735,-0.89380485,0.7492111
-0.7292478,-0.845974,-0.99830943,-0.99814874,-0.84435767,0.5784535
-0.79912645,-0.7846181,-0.9995479,-0.9992223,-0.8679435,0.8584366
-0.68601394,-0.76684356,-0.99862087,-0.99770415,-0.88204336,0.75342494
