t0,t1,t2,t3,t4,t5
0.34751964,0.08729603,-0.9970807,-0.9957094,0.22459342,-0.9615261
0.39270946,0.08738133,-0.99810445,-0.99578106,0.3145016,-0.9428754
0.23017105,0.2629149,-0.9959,-0.99359983,0.27271932,-0.9197785
0.41557395,0.058889825,-0.99769306,-0.99725306,0.32787678,-0.94280994
0.43941244,0.05639336,-0.9979371,-0.9970323,-0.042364124,-0.9465939
0.3816839,0.06235417,-0.99238,-0.98996544,0.16877533,-0.91061777
0.45530266,0.17566259,-0.9964083,-0.9967795,0.13091144,-0.96243435
0.19642268,-0.13810234,-0.9979238,-0.9980317,0.34946743,-0.97372216
0.23617402,0.14330469,-0.9979773,-0.9967466,0.20026125,-0.96615547
0.39273304,0.101044096,-0.9986708,-0.99680626,0.31234622,-0.95577615
0.31190363,0.12952232,-0.9940987,-0.99134856,0.34147483,-0.89668584
0.30365136,-0.066963606,-0.9946204,-0.9923767,0.15221135,-0.94753623
0.34387267,-0.2448238,-0.9990751,-0.9993568,0.43006283,-0.9849849
0.27964893,-0.106123716,-0.9923712,-0.9926743,0.18561035,-0.95868486
0.3275112,0.19650766,-0.9982956,-0.99722755,0.25850883,-0.95021236
0.30699936,0.10563186,-0.9946397,-0.9930868,-0.059644863,-0.91307515
