t0,t1,t2,t3,t4,t5
-0.09468597,-0.3135542,-0.9984299,-0.9978933,-0.98448884,-0.99195224
-0.04215914,-0.22973564,-0.9990664,-0.99802405,-0.97773147,-0.98940945
-0.17126648,-0.0877997,-0.9975499,-0.9961472,-0.9772909,-0.9815855
-0.0933528,-0.33883092,-0.9988025,-0.99868035,-0.98396164,-0.98934084
-0.059924547,-0.35531378,-0.9989807,-0.99870425,-0.9929126,-0.99016404
-0.0012746687,-0.2645723,-0.99487716,-0.99393386,-0.95971596,-0.97518075
0.0044367057,-0.19028854,-0.998154,-0.9983845,-0.98449147,-0.99185556
-0.31499055,-0.53758883,-0.9989373,-0.99907815,-0.98521405,-0.9952795
-0.23835832,-0.2216638,-0.99876934,-0.9982059,-0.98199654,-0.9924457
-0.103806384,-0.27852967,-0.9993423,-0.9985979,-0.983664,-0.991905
-0.06269518,-0.2250675,-0.996478,-0.9950028,-0.96181655,-0.97505105
-0.12441776,-0.391161,-0.99680024,-0.9957834,-0.9735128,-0.9865539
-0.18552871,-0.60368866,-0.9994795,-0.9996818,-0.98966336,-0.99754417
-0.15998968,-0.42518365,-0.996148,-0.9964187,-0.9733122,-0.99032485
-0.14510438,-0.17198332,-0.9991077,-0.9986649,-0.9882894,-0.9911931
-0.09211927,-0.2207725,-0.9970675,-0.99641365,-0.98251414,-0.9792077
