t0,t1,t2,t3,t4,t5
-0.37760007,-0.48734185,-0.99602944,-0.99550295,-0.81312495,-0.92168176
-0.30559412,-0.40395746,-0.997254,-0.99496365,-0.7299892,-0.8862866
-0.45144224,-0.28882623,-0.99436307,-0.9929274,-0.7564302,-0.834667
-0.3569157,-0.49617773,-0.99669975,-0.9970571,-0.78799963,-0.8784284
-0.3600705,-0.52037764,-0.9968558,-0.99671423,-0.8939657,-0.87838936
-0.23126616,-0.40850055,-0.98949456,-0.9894444,-0.7263562,-0.8388376
-0.24672456,-0.38893858,-0.9948732,-0.9961906,-0.82618034,-0.9195147
-0.5680307,-0.655649,-0.99726397,-0.9979833,-0.78586775,-0.9390616
-0.48867556,-0.439654,-0.9971845,-0.9964995,-0.8170616,-0.92795914
-0.36275616,-0.45996282,-0.9981164,-0.99655885,-0.7800846,-0.90348744
-0.31622687,-0.3555153,-0.9920136,-0.98987716,-0.6503596,-0.79491967
-0.3446705,-0.5323052,-0.99312955,-0.99206614,-0.7729236,-0.90232486
-0.48756897,-0.73687917,-0.9986701,-0.99930906,-0.8125041,-0.9624433
-0.36816213,-0.5388733,-0.99032205,-0.99214554,-0.7535992,-0.9178766
-0.4514326,-0.3793177,-0.9973228,-0.99693525,-0.8125058,-0.88311005
-0.33622965,-0.37496796,-0.99271685,-0.9923712,-0.83008945,-0.8361259
