t0,t1,t2,t3,t4,t5
-0.5660941,-0.6988732,-0.99806815,-0.9979403,-0.9680382,-0.991267
-0.52283883,-0.6555628,-0.99884266,-0.99804014,-0.9529166,-0.98792887
-0.61049205,-0.5368336,-0.99691254,-0.99631554,-0.9531535,-0.9793459
-0.5803248,-0.7144592,-0.9985177,-0.9987296,-0.96609074,-0.98832315
-0.5722465,-0.7464987,-0.9986406,-0.99868923,-0.98481286,-0.98909765
-0.42294192,-0.60957634,-0.9937206,-0.9940712,-0.9277573,-0.9728639
-0.48097423,-0.6394912,-0.9975186,-0.9983036,-0.96904445,-0.9911946
-0.7187298,-0.82145286,-0.998728,-0.99913853,-0.96978945,-0.9947156
-0.6502648,-0.6396001,-0.99851906,-0.9982789,-0.9638827,-0.99159026
-0.5758014,-0.6938191,-0.9991918,-0.9986271,-0.9661632,-0.9909636
-0.5008953,-0.59741044,-0.9958709,-0.9952766,-0.92678285,-0.97270644
-0.5394981,-0.7114895,-0.9960951,-0.9958882,-0.9522286,-0.98595953
-0.6816775,-0.8673534,-0.9993585,-0.9997037,-0.97589356,-0.9972482
-0.56258655,-0.726803,-0.9954003,-0.9964984,-0.9498953,-0.9892671
-0.6292024,-0.64183736,-0.99881655,-0.998702,-0.972885,-0.98971623
-0.5324309,-0.6077438,-0.9963769,-0.9965609,-0.96649384,-0.9774045
