t0,t1,t2,t3,t4,t5
-0.35329774,-0.18485394,-0.99932474,-0.9990677,-0.9794243,-0.9875261
-0.2958267,-0.08447568,-0.9996016,-0.999119,-0.968705,-0.98246616
-0.4193341,-0.022238309,-0.9986841,-0.99798924,-0.9599098,-0.9679896
-0.36846656,-0.24093506,-0.9995033,-0.9994709,-0.97644764,-0.9853043
-0.352111,-0.22725034,-0.9996044,-0.9994962,-0.99052066,-0.9856935
-0.2090728,-0.16651703,-0.9970608,-0.9965881,-0.94748276,-0.963971
-0.26349792,-0.07760024,-0.99917537,-0.99923456,-0.9796666,-0.9875431
-0.48455647,-0.4334812,-0.9995703,-0.99963397,-0.9807859,-0.9936314
-0.4501278,-0.10642795,-0.99951106,-0.99928916,-0.9775885,-0.9886677
-0.35893387,-0.12908995,-0.9997398,-0.99942774,-0.97629637,-0.98688877
-0.30552557,-0.116244726,-0.9986512,-0.9981393,-0.9512918,-0.96780926
-0.32772943,-0.27688518,-0.99836934,-0.9978767,-0.9675975,-0.98086065
-0.39976,-0.44733876,-0.9998156,-0.99988085,-0.9862238,-0.99631685
-0.31420466,-0.29064208,-0.9981319,-0.9981767,-0.965762,-0.9867137
-0.43077454,-0.0702406,-0.9995827,-0.9993932,-0.9810005,-0.98507917
-0.34942317,-0.16335733,-0.9986453,-0.9983963,-0.97685874,-0.97180486
