t0,t1,t2,t3,t4,t5
-0.4089819,-0.42532155,-0.9600775,-0.9461092,-0.93791914,-0.92230743
-0.36280152,-0.3506883,-0.97322077,-0.94602025,-0.9066145,-0.896012
-0.487089,-0.21206272,-0.9460975,-0.92224836,-0.91506475,-0.8600222
-0.40038985,-0.40462583,-0.9607402,-0.95479614,-0.9248068,-0.88069195
-0.4280519,-0.43836862,-0.96229607,-0.95192236,-0.96218675,-0.8882045
-0.30800486,-0.3640772,-0.9351216,-0.922557,-0.88555235,-0.8471289
-0.32347196,-0.3153998,-0.946276,-0.95291805,-0.93354934,-0.9075813
-0.5960639,-0.5946204,-0.96463567,-0.9685132,-0.9341868,-0.9344042
-0.5618009,-0.37163824,-0.9744218,-0.9593256,-0.943253,-0.9289645
-0.43346384,-0.40851507,-0.9786501,-0.9545176,-0.93534046,-0.9079985
-0.3641249,-0.28803203,-0.9425824,-0.91733545,-0.86709553,-0.8206677
-0.3927282,-0.4908941,-0.94962335,-0.9309107,-0.9153442,-0.8975017
-0.4975501,-0.6967878,-0.97998863,-0.9862726,-0.95299596,-0.9622547
-0.42253685,-0.49034235,-0.9268957,-0.9261029,-0.9037366,-0.90932536
-0.49024376,-0.2845303,-0.9668942,-0.9540312,-0.9387318,-0.88654596
-0.40785837,-0.32568106,-0.9458999,-0.9330853,-0.9294953,-0.8335691
