t0,t1,t2,t3,t4,t5
0.04372061,-0.51035243,-0.994876,-0.99296147,-0.9631091,-0.68376553
0.09159934,-0.4592061,-0.9966253,-0.9930254,-0.9451823,-0.5734012
-0.051688027,-0.34730825,-0.9927955,-0.9897376,-0.94840795,-0.45034456
0.06856794,-0.5266586,-0.9955672,-0.9953703,-0.95946324,-0.539987
0.07819424,-0.54602754,-0.9958865,-0.995077,-0.9813498,-0.5050038
0.1065574,-0.44358292,-0.9877886,-0.9859898,-0.9244207,-0.51756
0.13201697,-0.4160806,-0.993734,-0.99461114,-0.96446127,-0.65350676
-0.20408447,-0.68416286,-0.99635255,-0.99689114,-0.9615322,-0.6892401
-0.15078692,-0.5023961,-0.99663883,-0.9949848,-0.96501803,-0.69055897
0.03645241,-0.52606595,-0.99777013,-0.99541575,-0.96379775,-0.58283085
0.06902517,-0.40640348,-0.99030167,-0.98594624,-0.9115217,-0.4012761
0.02197186,-0.56598324,-0.9918908,-0.9889258,-0.94752514,-0.6375256
-0.028219812,-0.77635926,-0.9983192,-0.9988825,-0.97505164,-0.78719586
-0.04010746,-0.576064,-0.988345,-0.98863983,-0.93959594,-0.69583976
-0.031316485,-0.41262147,-0.99651027,-0.9952971,-0.96586883,-0.52792305
0.005186041,-0.41790637,-0.9915605,-0.9893107,-0.9572473,-0.4924367
