t0,t1,t2,t3,t4,t5
-0.5079882,-0.7830013,-0.9977281,-0.9977429,-0.93968266,-0.9895538
-0.46537247,-0.7510875,-0.9985537,-0.9977658,-0.90845025,-0.9849511
-0.5591955,-0.6525258,-0.9963758,-0.9960152,-0.9131652,-0.97503585
-0.51552886,-0.7961178,-0.9981607,-0.9985389,-0.93236953,-0.9853423
-0.5094381,-0.82288885,-0.99830544,-0.9985197,-0.969311,-0.986629
-0.36158997,-0.6963214,-0.9927126,-0.993536,-0.88046396,-0.9681082
-0.42025056,-0.74004954,-0.99693465,-0.99809664,-0.94095254,-0.9894243
-0.67095643,-0.8780869,-0.9984836,-0.99904776,-0.940335,-0.9936014
-0.59975106,-0.7387481,-0.99826115,-0.99811697,-0.9317937,-0.98972183
-0.5145727,-0.7859989,-0.9989918,-0.9984403,-0.9319914,-0.98877984
-0.44597408,-0.6949927,-0.9950888,-0.9947659,-0.8680114,-0.9664258
-0.48130846,-0.7855416,-0.995475,-0.9955098,-0.9158555,-0.9834429
-0.6261315,-0.91469574,-0.99922043,-0.999671,-0.9486052,-0.99657065
-0.50969994,-0.7963758,-0.99456066,-0.9961608,-0.9115207,-0.98728955
-0.5758924,-0.7474755,-0.99856323,-0.99857265,-0.9454491,-0.9873586
-0.47827074,-0.70369434,-0.9957284,-0.996239,-0.94014436,-0.972996
