t0,t1,t2,t3,t4,t5
-0.34785587,-0.41275018,-0.99934286,-0.99914205,-0.9798284,-0.9873989
-0.2956967,-0.3288881,-0.99961597,-0.99920183,-0.96897054,-0.982545
-0.41071752,-0.25879103,-0.9987197,-0.9981507,-0.96073294,-0.96739745
-0.36473897,-0.46410087,-0.99952245,-0.9995159,-0.97684866,-0.9851937
-0.3531537,-0.46613565,-0.9996163,-0.99954754,-0.9906844,-0.9857292
-0.20821302,-0.34956163,-0.99713653,-0.9968312,-0.94832015,-0.9638084
-0.26423332,-0.31693947,-0.9991964,-0.9992952,-0.97998923,-0.9876599
-0.48180655,-0.6215019,-0.99958795,-0.9996663,-0.98106974,-0.99352777
-0.44354832,-0.34248942,-0.9995311,-0.99935144,-0.9780202,-0.9885169
-0.3541027,-0.3845524,-0.99975085,-0.99948776,-0.9766842,-0.98690563
-0.29807574,-0.34048116,-0.99869037,-0.99828166,-0.9519906,-0.96747077
-0.3262879,-0.46028888,-0.99841714,-0.9980278,-0.968105,-0.9807622
-0.39450023,-0.64836776,-0.9998245,-0.9998929,-0.98644197,-0.99626565
-0.31104362,-0.47033554,-0.99820334,-0.9983168,-0.96636313,-0.98660755
-0.42606264,-0.32811537,-0.9995917,-0.9994484,-0.981294,-0.9850039
-0.3454376,-0.36820057,-0.99867517,-0.99852353,-0.9772275,-0.9716258
