t0,t1,t2,t3,t4,t5
-0.27129394,-0.63449526,-0.8003319,-0.78998244,-0.7560412,-0.69118315
-0.21461603,-0.607944,-0.8722764,-0.80751544,-0.68806106,-0.61985266
-0.38315818,-0.48035482,-0.7573981,-0.759032,-0.7168494,-0.5416688
-0.25508717,-0.62692213,-0.811299,-0.8302533,-0.72997165,-0.5544146
-0.32515383,-0.6675403,-0.8002755,-0.81979084,-0.8373806,-0.5484632
-0.1968569,-0.5785668,-0.76876366,-0.77744985,-0.69109625,-0.5521722
-0.20098665,-0.58103096,-0.7529214,-0.8288739,-0.76569474,-0.6465785
-0.4624378,-0.74060893,-0.81399614,-0.87069553,-0.7308538,-0.69025284
-0.43655273,-0.61316335,-0.8756713,-0.84481335,-0.78819764,-0.703002
-0.280506,-0.67471004,-0.8815781,-0.82175875,-0.74028295,-0.6251278
-0.23492971,-0.52930063,-0.7680393,-0.7311124,-0.61104286,-0.46955448
-0.24486426,-0.6741426,-0.79685205,-0.7764831,-0.7399134,-0.6422551
-0.30445465,-0.8381206,-0.8762794,-0.9318443,-0.7787191,-0.78497255
-0.29143244,-0.6475794,-0.72637075,-0.77163196,-0.7021775,-0.68475235
-0.37438586,-0.5424372,-0.83285755,-0.8355518,-0.7549807,-0.55465406
-0.3098708,-0.557966,-0.79398876,-0.7925573,-0.77620846,-0.53143305
