t0,t1,t2,t3,t4,t5
-0.40203217,-0.4985965,-0.999197,-0.9985551,-0.8694821,0.04919169
-0.36256483,-0.4362023,-0.99955755,-0.9987447,-0.8267669,0.20846571
-0.44909677,-0.36978525,-0.99830323,-0.99702907,-0.7844199,0.35922363
-0.41142842,-0.5591058,-0.9994066,-0.99920595,-0.83821625,0.22151689
-0.40523595,-0.49681884,-0.99933064,-0.99891895,-0.9172771,0.42720175
-0.26591888,-0.41766545,-0.9968808,-0.99566215,-0.7880301,0.11707141
-0.3376524,-0.3570878,-0.9990093,-0.99876523,-0.88018346,0.06262336
-0.5924343,-0.7089896,-0.99955136,-0.99951553,-0.86063826,-0.016934961
-0.5165534,-0.47726253,-0.999463,-0.9989388,-0.86395174,-0.03201403
-0.39600617,-0.4861263,-0.9996375,-0.9989819,-0.8243479,0.23974098
-0.34575415,-0.44641986,-0.99850434,-0.9971114,-0.75164133,0.30514416
-0.38634276,-0.55602807,-0.99840707,-0.9972674,-0.8475475,-0.021882027
-0.50898474,-0.7482832,-0.999811,-0.9998322,-0.88333464,-0.06550361
-0.41317832,-0.56967264,-0.99825215,-0.9979068,-0.83887726,-0.17744099
-0.48759818,-0.39427507,-0.9994262,-0.9989922,-0.85858625,0.32129452
-0.39570838,-0.44892728,-0.9985801,-0.99763334,-0.8799803,0.16368055
