t0,t1,t2,t3,t4,t5
-0.52049285,-0.48323458,-0.9990366,-0.9982345,-0.94508094,0.681285
-0.50903773,-0.4690754,-0.9994765,-0.9984675,-0.9185269,0.77072346
-0.5849355,-0.34362248,-0.9985242,-0.997311,-0.917793,0.8188734
-0.53704077,-0.56147355,-0.99938273,-0.9991298,-0.94264704,0.8102389
-0.557204,-0.52613294,-0.9993824,-0.99895537,-0.9695404,0.8549091
-0.38121635,-0.4373201,-0.99684364,-0.9954175,-0.89432687,0.6497832
-0.44691357,-0.38322812,-0.9988975,-0.99855447,-0.94472253,0.67167073
-0.72955763,-0.7163231,-0.99956554,-0.99949455,-0.94738626,0.7218108
-0.6392741,-0.5004645,-0.999409,-0.9987392,-0.94122773,0.6102742
-0.55124956,-0.55088073,-0.9996986,-0.9990584,-0.93675476,0.79351014
-0.4831047,-0.46307692,-0.9982029,-0.9962505,-0.8761641,0.7781303
-0.4937716,-0.5739241,-0.9980454,-0.9963872,-0.92197996,0.61000544
-0.6656775,-0.7835411,-0.999801,-0.99982005,-0.96061647,0.7036624
-0.560976,-0.598877,-0.9980169,-0.99758106,-0.9236823,0.5135929
-0.62296677,-0.37988207,-0.999463,-0.99898535,-0.94671005,0.8304785
-0.48994774,-0.42344433,-0.9983201,-0.9969258,-0.94126153,0.7053373
