t0,t1,t2,t3,t4,t5
-0.37447938,-0.40503848,-0.999128,-0.99829733,-0.60618174,0.3795683
-0.3449501,-0.34905446,-0.99951506,-0.9985353,-0.48673207,0.50756764
-0.43521777,-0.2838882,-0.99818563,-0.99662524,-0.44213346,0.5949193
-0.38134766,-0.4685008,-0.99936646,-0.99906087,-0.5065206,0.5358897
-0.3828382,-0.40589568,-0.999277,-0.9986834,-0.71242756,0.67161125
-0.2406583,-0.33993864,-0.9967683,-0.99521923,-0.51529735,0.3789593
-0.30593652,-0.25159326,-0.99892974,-0.9985278,-0.63198364,0.3865319
-0.5663153,-0.63378036,-0.99952227,-0.99941576,-0.54634976,0.35788068
-0.49461535,-0.39728782,-0.9994172,-0.9987397,-0.5942901,0.29734662
-0.36795166,-0.40923,-0.99962527,-0.99882495,-0.48031095,0.53974044
-0.32960668,-0.36655283,-0.9984609,-0.9967694,-0.373625,0.55805945
-0.36492735,-0.48064438,-0.9983088,-0.99682873,-0.593759,0.2901334
-0.48376095,-0.68248945,-0.999798,-0.99979824,-0.5704336,0.3343965
-0.38451287,-0.49499074,-0.99810416,-0.99755406,-0.57393694,0.14250073
-0.4688455,-0.2968275,-0.9993918,-0.99882925,-0.55529714,0.5981804
-0.37009776,-0.36404377,-0.9984925,-0.9972567,-0.6701718,0.44426873
